COMMAND     PID        USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
limactl   28582 rohansharma   74u  IPv4 0x143e27b748341ef0      0t0  TCP 127.0.0.1:9026 (LISTEN)
limactl   28582 rohansharma   75u  IPv4 0x92930708c295f708      0t0  TCP 127.0.0.1:9037 (LISTEN)
limactl   28582 rohansharma   76u  IPv4 0x781a963b1a9b1a80      0t0  TCP 127.0.0.1:9036 (LISTEN)
limactl   28582 rohansharma   77u  IPv4  0x14f965a532abba0      0t0  TCP 127.0.0.1:9039 (LISTEN)
limactl   28582 rohansharma   78u  IPv4 0xf921e25246bf21f5      0t0  TCP 127.0.0.1:9038 (LISTEN)
limactl   28582 rohansharma   79u  IPv4 0x6420c807a9fd4206      0t0  TCP 127.0.0.1:9033 (LISTEN)
limactl   28582 rohansharma   80u  IPv4 0x55bb64051aedaeae      0t0  TCP 127.0.0.1:9032 (LISTEN)
limactl   28582 rohansharma   81u  IPv4 0xa09a576a4102de80      0t0  TCP 127.0.0.1:9035 (LISTEN)
limactl   28582 rohansharma   82u  IPv4 0xb17ea52c1178c581      0t0  TCP 127.0.0.1:9034 (LISTEN)
limactl   28582 rohansharma   83u  IPv4 0x96403f9892ea2d96      0t0  TCP 127.0.0.1:5525 (LISTEN)
limactl   28582 rohansharma   84u  IPv4 0x3f10213fe7f5d4b1      0t0  TCP 127.0.0.1:5524 (LISTEN)
limactl   28582 rohansharma   85u  IPv4 0xab37c1f053733c50      0t0  TCP 127.0.0.1:5527 (LISTEN)
limactl   28582 rohansharma   86u  IPv4 0xfeb3f5d2bea06578      0t0  TCP 127.0.0.1:5526 (LISTEN)
limactl   28582 rohansharma   87u  IPv4 0x9644e301a3e84851      0t0  TCP 127.0.0.1:5521 (LISTEN)
limactl   28582 rohansharma   88u  IPv4  0xca7caa647909c3f      0t0  TCP 127.0.0.1:5520 (LISTEN)
limactl   28582 rohansharma   89u  IPv4 0xe3d9cd9db6e22eb9      0t0  TCP 127.0.0.1:5523 (LISTEN)
